Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategory,Product Page URL,Attachement URL,Image URL
Staples,388685,Alliance Rubber Rubber Bands,26085,"Alliance Advantage Multi-Purpose Rubber Bands, #8, 1 lb. Box, 5,200/Box (26085)","Stock your supply cabinet with these rubber bands with an open ring design that allows for faster application. These Alliance rubber bands feature a mid-range rubber content and excellent tensile strength to reduce breakage. Size 8 rubber bands measure 7/8"" x 1/16"" and come 5,200 per box.Multi-purpose rubber band is perfect for repeated use or fast applicationRubber bands of size #8 are economical and ideal for bundling, sealing, and attaching applicationsThey come in a 1 lb. boxEach package comes with rubber bands in natural crepeElongation: 700%5,200 rubber bands per boxSize 8 rubber bands measure 7/8"" x 1/16""This product is manufactured by a certified WBE (women owned business)This product is manufactured by a certified SBE (small business enterprise)Reach for these Alliance Advantage size 8 rubber bands for multiple home, office, or industrial applications.Color FamilyBeige Elongation Rating or Spec700% Length in Inches0.875 Next Day DeliveryYes Pack Size5,200 Rubber Band Pack Size1000+ Rubber Band Size8 Rubber Band TypeMulti-Purpose Series or CollectionAdvantage Total Quantity In One Sellable Unit5,200 True ColorNatural Crepe Type of PackageBox Width in Inches0.0625",Box,5200,Office Basics,Rubber Bands,https://www.staples.com/Alliance-Advantage-Rubber-Bands-Size-8-1-lb-7-8-x-1-16/product_388685,,https://www.staples-3p.com/s7/is/image/Staples/sp43804035_sc7
Staples,143297,Staples Rubber Bands,ST28611/28611,"Staples Economy Rubber Bands, #64, 1/4 lb. Bag, 95/Pack (28611-CC)","Keep documents and other items together with these Staples economy rubber bands. The resealable bag makes it easy to use the amount of bands needed before storing the rest away for later use, and the high-quality materials ensure the rubber bands are strong enough and flexible enough to secure multiple items. At approximately 95 rubber bands per bag, these Staples rubber bands are perfect for keeping on hand for last-minute use.Economy rubber bands are ideal for regular use#64 rubber bands are perfect for repeated use or fast applicationEach package comes with rubber bands in beige95 rubber bands per packBundle important documents together with these Staples #64 economy rubber bands.Color FamilyBeige Length in Inches3.5 Next Day DeliveryYes Pack Size95 Rubber Band Pack Size51-100 Rubber Band Size64 Rubber Band Size Number64 Rubber Band TypeEconomy Total Quantity In One Sellable Unit95 True ColorBeige Type of PackageResealable Bag Width in Inches0.25",Pack,95,Office Basics,Rubber Bands,https://www.staples.com/Staples-Economy-Rubber-Bands-Size-64-1-4-lb/product_143297,,"https://www.staples-3p.com/s7/is/image/Staples/s1224253_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1224158_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1224180_sc7"
Staples,2310228,Smead Hanging File Folders,64032,"Smead FasTab Recycled Hanging File Folder, 3-Tab Tab, Letter Size, Moss, 20/Box (64032)",Erasable tab so you can reuse folder again and againHand write directly on the tab with a permanent marker and erase with standard eraserBuilt-in reinforced tab allows you to write directly on the tabTabs are 20% larger than standard 1/3-cut tabsSmead Erasable FasTab® Hanging FoldersColor FamilyGreen FashionNo Folder DurabilityStandard Folder Expansion (inches)No Expansion Folder MaterialPaper Stock Folder Pack Size20 to 29 Hanging File Folder TypeHanging File Folders Height in Inches10.1875 Length in Inches11.7 Pack Qty20 Paper SizeLetter Paper Stock Thickness in Points11 Post Consumer Recycled Content10% RecycledYes ReinforcedReinforced Series or CollectionFasTab Sustainable Forestry Initiative certifiedYes Tabs3-Tab Total Recycled Content10% True ColorMoss Width in Inches13.25,Box,20,Folders & Filing,Hanging File Folders,https://www.staples.com/Smead-Erasable-FasTab-Hanging-File-Folder-1-3-Cut-Built-In-Tab-Letter-Size-Moss-20-per-Box-64032/product_2310228,,https://www.staples-3p.com/s7/is/image/Staples/s0804010_sc7
Staples,613393,TRU RED File Folders,613393/TR56684,"TRU RED™ End Tab File Folder, Straight Cut, Letter Size, Manila, 250/Box (TR56684)","Keep important paperwork organized with these end tab file folders. The sturdy 11-point manila paper stock construction resists wear and tear for dependable durability, while the single-ply straight-cut tabs offer ample space for labels to make identification easy. These TRU RED letter-size manila end tab file folders arrive in a 250-count box, providing an ample supply for busy offices and institutions.Comes in manila and is made of 11-point paper stock with 143# basis weight for durabilityStraight-cut tab keeps filing and reordering files simpleLetter-size folder easily holds important files250 folders per boxGet a convenient filing solution for office documents with these TRU RED letter-size manila end tab file folders.Color FamilyManila FashionNo Folder DurabilityStandard Folder Expansion (inches)No Expansion Folder MaterialPaper Stock Folder Pack Size250 to 299 Pack Qty1 Paper SizeLetter Paper Stock Thickness in Points11 Post Consumer Recycled Content10% RecycledYes Tab OrientationStraight Tab PositionEnd TabsStraight Total Recycled Content10% True ColorManila",Box,250,Folders & Filing,File Folders,https://www.staples.com/Staples-Manila-End-Tab-File-Folders-Single-Ply-Tab-Letter-250-Box/product_613393,,https://www.staples-3p.com/s7/is/image/Staples/s1166045_sc7
Staples,369746,Staples Notepads,ST57348,"Staples Notepad, 8.5"" x 11.75"", Law Ruled, Canary, 100 Sheets/Pad, Each (ST57348)","Furnish your work desk with this canary 100-sheet law ruled notepad. Convenient perforations let you cleanly peel off a page, while the law-ruled pages let you easily include notations and points of order in the wide margins. This Staples 8.5 x 11.75-inch canary law ruled notepad features top binding so you can flip through the pages and find information quickly.Standard perforated three-hole punched notepad for everyday writingSheet size: 8.5"" x 11.75""100 perforated sheets per padSingle pad per packTop-bound design allows you to quickly flip through papers to find informationLaw ruled pad accommodates notations and points of orderCanary paper with chipboard backingTake down notes and revise drafts with this Staples 8.5 x 11.75-inch canary law ruled notepad.# of Pads1 Acid FreeNon Acid Free Binding PositionTop Color FamilyYellow Hole PunchedYes Next Day DeliveryYes Notepad BindingStapled Notepad Cover MaterialChipboard Notepad TypeWriting Pad Number Sheets Per Pad100 Number of Pads1 PerforationPerforated Rule TypeSpecialty Sheet Dimension8.5"" x 11.75"" Specialty Rule TypeLaw True ColorCanary",,Each,Notebooks & Notepads,Notepads,https://www.staples.com/Staples-3-Hole-Double-Pad-Canary-Law-Ruled-3-Margin-Each-18582/product_369746,,"https://www.staples-3p.com/s7/is/image/Staples/s1210754_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1212332_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1211879_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1212129_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1212135_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1211930_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1212516_sc7"
Staples,77934,Monteverde Pens,L133OR,"Monteverde® Medium Ballpoint Refill For Lamy Ballpoint Pens, 6/Pack, Orange","Monteverde® Soft roll™ Medium point ballpoint refill in orange for Lamy® ballpoint pens features low viscosity ink for easy flow. Refill bears a nickel plated brass tube and a medium point swiss tip, sold as 6/pack.OrangeMediumFits lamy ballpoint penSmooth writing6/PackMedium tube packagingMonteverde® Soft roll™ Medium point ballpoint refill in orange to fit Lamy® ballpoint pens that offers the latest technology for smooth writing experience, sold as 6/pack.ErasableNo Ink ColorOrange Pen Pack Size6 Pack Pen Point SizeMedium Pen TypeRefill Point TypeMedium Refill TypeBallpoint RetractableNo",Pack,6,Writing Supplies & Instruments,Pens,https://www.staples.com/Monteverde-Medium-Ballpoint-Refill-For-Lamy-Ballpoint-Pens-6-Pack-Orange/product_77934,,https://www.staples-3p.com/s7/is/image/Staples/m000004540_sc7
Staples,78054,Monteverde Pens,P113BK,"Monteverde® Extra Fine Ballpoint Refill For Parker Ballpoint Pens, 6/Pack, Black","Monteverde® Soft roll™ Ballpoint refill in black for Parker® ballpoint pens features low viscosity ink for easy flow and has a large capacity metal body. Refill bears a nickel silver tube and an extra fine tip, sold as 6 per pack.BlackExtra fineFits parker ballpoint penSmooth writing6/PackMedium tube packagingMonteverde® Soft roll™ Ballpoint refill in black has an extra fine tip to fit Parker® ballpoint pens that offers the latest technology for smooth and unprecedented writing experience, sold as 6 per pack.Barrel MaterialMetal ErasableNo Ink ColorBlack Pen Pack Size6 Pack Pen Point SizeExtra Fine Pen TypeRefill Point TypeExtra Fine Refill TypeBallpoint RetractableNo",Pack,6,Writing Supplies & Instruments,Pens,https://www.staples.com/Monteverde-Extra-Fine-Ballpoint-Refill-For-Parker-Ballpoint-Pens-6-Pack-Black/product_78054,,https://www.staples-3p.com/s7/is/image/Staples/m000004601_sc7
Staples,180651,Staples Rubber Bands,17785CT,"Staples Economy Rubber Bands, #64, 1 lb. Bag, 25 Bags/Carton (17785CT)","Keep papers and other objects fastened together with these rubber bands. With a resealable bag, these rubber bands are easy to keep track of, while the rubber construction resists breakage and provides long-lasting durability. These Staples rubber bands come with 25 bags per pack and have 380 units per bag, so staying stocked up is easy.Economy rubber bands are ideal for regular use#64 rubber bands are perfect for repeated use or fast applicationEach package comes with rubber bands in beige380 rubber bands per pack, 25 packsHold together books, newspapers and other items by using this 25-pack of Staples 380-count 3.5 x 0.25-inch rubber bands.Color FamilyBeige Length in Inches3.5 Next Day DeliveryYes Pack Size25 Rubber Band Pack Size1-50 Rubber Band Size64 Rubber Band Size Number64 Rubber Band TypeEconomy Total Quantity In One Sellable Unit380 True ColorBeige Type of PackageResealable Bag Width in Inches0.25",Carton,9500,Office Basics,Rubber Bands,https://www.staples.com/Staples-Rubber-Bands-64-3-1-2-x-1-4-380-bag-25-bags-Ct/product_180651,,https://www.staples-3p.com/s7/is/image/Staples/sp40797707_sc7
Staples,2104763,Kahootie Co. Notepads,ITKCLGD,"Kahootie Co Undated Monthly Calendar, 9"" x 11.5"", Gray Design (ITKCLGD)","This Monthly Calendar is the ultimate tool to keep your month organized. The undated design allows you to customize your start date and eliminates wasted pre-dated pages.Features 12 monthly pages with extra-large daily blocks and 20 pages of notesKeep your calendar and important notes in one placeUndated eliminates wasted predated pages and provides increased flexibility for useSpiral binding with durable 10 mil laminated coverPage size 8.5"" x 11""Manufactured in the USAIt's That Kinda Day™ Undated Monthly Calendar features extra-large daily blocks, premium quality paper and 20 pages of notes in back!Color FamilyGray/Silver Depth in Inches0.6 Notepad BindingSpiral Notepad TypeWriting Pad Series or CollectionCo Sheet DimensionOther True ColorGray",,Each,Notebooks & Notepads,Notepads,https://www.staples.com/Kahootie-Co-It-s-That-Kinda-Day-Undated-Monthly-Calendar-9-x-11-5-Gray-Design-ITKCLGD/product_2104763,,"https://www.staples-3p.com/s7/is/image/Staples/s1054559_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1054558_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1015558_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1015559_sc7,https://www.staples-3p.com/s7/is/image/Staples/s1015560_sc7"
Staples,2126012,Scotch Hooks & Hanging Strips,RF6761,"Scotch™ Extreme Strip Fasteners, Black, 2.5 cm x 3.04 m (RF6761)","When only the strongest hold will do, reach for our strongest fastener, Scotch™ Extremely Strong Fasteners. Designed with reclosable, dual lock technology, these heavy duty permanent fasteners are ideal for holding down tarps, hanging metal signs, and even mounting tools or solar lights. They're great for indoors too–think a chalkboard and even framed art. So give your power tools a break, and get the job done in a snap with the gravity defying power of Scotch™ Extremely Strong Fasteners.Delivers a powerful bond on contactHolds up to 10 lbsLasts up to 1000 closuresWeather, dirt and UV resistantEasy-to-apply design with no mess or toolsIdeal for use on varnished/sealed surfaces, wood, bare metal, drywall, plastic and moreIntended for indoor and outdoor useEnsure your surface is clean and dry for the best bondSize: 1 inch x 10 feetColor: BlackPackage Contents: 1 Set of Strips in Rolls/PackBlack extreme strip fasteners is quick, easy to use and works on painted wood, ceramics, metal surfaces.Color FamilyBlack Height in Inches1 Hook & Strip Pack SizeEach True ColorBlack Width in Inches120",,Each,"Tape, Fasteners & Adhesives",Hooks & Hanging Strips,https://www.staples.com/Scotch-Extreme-Strip-Fasteners-Black-2-5-cm-x-3-04-m-RF6761/product_2126012,,"https://www.staples-3p.com/s7/is/image/Staples/D15C201A-BEB4-4740-8DFDA37128315F56_sc7,https://www.staples-3p.com/s7/is/image/Staples/4541A2E4-D22B-4D58-9246DF24037DADBC_sc7,https://www.staples-3p.com/s7/is/image/Staples/411F0F58-259C-49DF-85A41840AA9C1187_sc7,https://www.staples-3p.com/s7/is/image/Staples/C28ACA10-D49F-44A9-A7A8B848BDE2116B_sc7,https://www.staples-3p.com/s7/is/image/Staples/56463B95-B425-4027-A49E5F3702644560_sc7,https://www.staples-3p.com/s7/is/image/Staples/6FA87EF6-821C-4514-8A1055BF6F739EA1_sc7,https://www.staples-3p.com/s7/is/image/Staples/C4EA14E3-D013-426A-BA157693370714F4_sc7,https://www.staples-3p.com/s7/is/image/Staples/DAFB0B3D-8E37-4A7C-902EB06126E837F7_sc7,https://www.staples-3p.com/s7/is/image/Staples/800C1592-C20E-4ECC-B294AD0D82172B51_sc7"
Staples,975833,Musgrave Pencil Company Pens,MUSDBUR,"Musgrave Pencil Company Grading Pen Fine Point, Red/Blue, 24/Bundle (MUSDBUR)","Grading pen features red ink flows from one end and blue from the other.Double end grading penInk color: Red, bluePoint type: Fine pointMinimum of 24 eachMusgrave Pencil Company Grading pen red blue finepoint has blue ink that flows from one end and red from the other.ErasableNo Ink ColorAssorted Pen Barrel ColorAssorted Pen Pack Size1 Pen Point SizeFine Pen TypeBallpoint Point TypeFine RefillableYes RetractableNo",Bundle,24,Writing Supplies & Instruments,Pens,https://www.staples.com/Musgrave-Pencil-Company-Grading-Pen-Red-Blue-Fine-Point-24-Pack/product_975833,,https://www.staples-3p.com/s7/is/image/Staples/m007126323_sc7
Staples,24298719,Scotch Tape Dispensers,C18-MX,"Scotch® C18 Desktop Dispenser, White (C18-MX)","Scotch® C18 classic desktop tape dispenser an economical tape dispenser that allows for one handed dispensing of a wide variety of tapes. The pop of color makes it a great addition to any home or office. It holds standard, 1 in. core tapes and can hold tape up to 3/4 in. wide by 1500 in. long. The weighted base allows for one handed dispensing.Economical, reliable classic style desktop tape dispenserIdeal for easy, one-handed dispensingNon-skid base holds 1 in. core tape, up to 3/4 in. wide and 1500 in. longHigh-quality cutting blade lasts for yearsEasy to refillColor FamilyWhite Core Size (Inches)1 Series or CollectionC18 Tape Dispenser TypeDesktop Dispenser True ColorWhite",,Each,"Tape, Fasteners & Adhesives",Tape Dispensers,https://www.staples.com/scotch-desktop-dispenser-3-4-x-350-white-c18-mx/product_24298719,,"https://www.staples-3p.com/s7/is/image/Staples/AA4A7E8D-327E-45C4-BF346B176B31F3DC_sc7,https://www.staples-3p.com/s7/is/image/Staples/9DFDEFD9-5507-4C4D-A55B7403DE3D02E2_sc7,https://www.staples-3p.com/s7/is/image/Staples/48CC4B06-2B8D-48DC-93F9096335BCE53C_sc7,https://www.staples-3p.com/s7/is/image/Staples/2E9E4011-29C9-4744-900272C2C8EDDF82_sc7,https://www.staples-3p.com/s7/is/image/Staples/C673B1E2-22C3-477D-8B9CA9D7D944A409_sc7"
